Comment,Description,Designator,Footprint,LibRef,Quantity

"0.47uF","Metallized Polyester (PET) Capacitor, 0.47 uF, +/- 10%, 100 V DC, 63 V AC, -55 to 100 degC, 2-Pin THD, RoHS, Bulk","C1, C2","WIMA-MKS2D034701E00","CMP-2000-06717-1","2"
"15V Zener","Small Signal Zener Diode, 15 V +/- 5%, -55 to 155 degC, 2-Pin SOD-123, RoHS, Tape and Reel","D1, D2","VISH-SOD-123-2_V","CMP-0931-00033-1","2"
"schottky","SWITCHMODE(TM) Schottky Power Rectifier, 3-Pin D2PAK, Pb-Free, Tape and Reel","D3, D4","ONSC-D2PAK-3-418B-04_V","CMP-1055-00082-1","2"
"input","Serie 2141 - 3.50 mm Horizontal Entry Modular with Rising Cage Clamp WR-TBL, 2 pin","J1","691214110002","CMP-1502-02464-1","1"
"output","Serie 2141 - 3.50 mm Horizontal Entry Modular with Rising Cage Clamp WR-TBL, 2 pin","J2","691214110002","CMP-1502-02464-1","1"
"100uH","FIXED IND 100UH 5.3A 118 MOHM","L1, L2","FP-PA4344_104NLT-MFG","CMP-16293-000004-1","2"
"CSD19532Q5B","MOSFET N-CH 100V 100A 8SON","Q1, Q2","FP-DNK0008A-MFG","CMP-04962-000007-1","2"
"470","RES Thick Film, 470O, 1%, 1W, 100ppm/°C, 2512","R1, R2","FP-CRCW2512-e3-IPC_B","CMP-02407-009143-1","2"
"10K","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R3, R4","RESC2013X60X35NL10T20","CMP-1659-00013-4","2"
